"v1.1+中的错误代码","v1.0-中的错误信息","错误说明"
"1","预期的命令字母","G 代码字由一个字母和一个值组成。未找到字母。"
"2","错误的数字格式","缺少预期的 G 代码字值或数字值格式无效。"
"3","无效语句","Grbl '$' 系统命令未被识别或支持。"
"4","值 < 0","收到的预期正值的负值。"
"5","设置禁用","归位循环失败。未通过设置启用归位。"
"6","值 < 3 微秒","最小步进脉冲时间必须大于3微秒。"
"7","EEPROM 读取失败。使用默认值","EEPROM 读取失败。自动将受影响的 EEPROM 恢复为默认值。"
"8","非空闲","Grbl '$' 命令不能使用，除非 Grbl 处于空闲状态。确保作业期间的平稳运行。"
"9","G-code 锁定","G-code 命令在报警或点动状态下被锁定。"
"10","未启用归位","未启用归位就无法启用软限制。"
"11","行溢出","超过每行最大字符数。未执行接收到的命令行。"
"12","步进率 > 30kHz","Grbl '$' 设置值导致步进率超过支持的最大值。"
"13","检查安全门","检测到安全门打开并启动门状态。"
"14","线路长度超出","构建信息或启动线路超出 EEPROM 线路长度限制。线路未存储。"
"15","超出行程","点动目标超出机器行程。点动命令已被忽略。"
"16","无效的点动命令","点动命令没有 '=' 或包含禁止的 g 代码。"
"17","设置禁用","激光模式需要PWM输出。"
"20","不支持的命令","在块中发现不支持或无效的 g 代码命令。"
"21","模态组违规","在块中发现来自同一模态组的多个 g 代码命令。"
"22","未定义进给率","进给率尚未设置或未定义。"
"23","无效的 G代码 ID:23","块中的 G 代码命令需要一个整数值。"
"24","无效的 G代码 ID:24","超过一个需要在块中找到轴字的 g 代码命令。"
"25","无效的 G代码 ID:25","在块中发现重复的 g 代码字。"
"26","无效的 G代码 ID:26","在块中找不到需要它们的 g 代码命令或当前模态状态的轴字。"
"27","无效的 G代码 ID:27","行号值无效。"
"28","无效的 G代码 ID:28","G 代码命令缺少一个必需的值字。"
"29","无效的 G代码 ID:29","不支持 G59.x 工作坐标系。"
"30","无效的 G代码 ID:30","G53 仅允许用于 G0 和 G1 运动模式。"
"31","无效的 G代码 ID:31","当没有命令或当前模态状态使用它们时，在块中找到轴词。"
"32","无效的 G代码 ID:32","G2 和 G3 弧需要至少一个平面内轴字。"
"33","无效的 G代码 ID:33","运动命令目标无效。"
"34","无效的 G代码 ID:34","圆弧半径值无效。"
"35","无效的 G代码 ID:35","G2 和 G3 弧需要至少一个平面内偏移字。"
"36","无效的 G代码 ID:36","在块中发现未使用的值字。"
"37","无效的 G代码 ID:37","G43.1 动态刀具长度偏置没有分配给配置的刀具长度轴。"
"38","无效的 G代码 ID:38","工具编号大于最大支持值。"
